date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2011-10-01,Yves Edwards,Rafaello Oliveira,7.733,2.0,42.0,108.0,0.0,0.0,0.0,34.0,0.0,22.0,117.0,0.0,3.0,0.0,43.0
2011-10-01,Michael Johnson,Paul Sass,3.0,0.0,8.0,26.0,0.0,0.0,0.0,39.0,0.0,2.0,16.0,0.0,3.0,3.0,5.0
2011-10-01,Mike Easton,Byron Bloodworth,9.867,1.0,31.0,84.0,0.0,0.0,0.0,58.0,0.0,17.0,77.0,0.0,3.0,0.0,45.0
2011-10-01,Shane Roller,TJ Grant,12.2,0.0,10.0,60.0,1.0,3.0,2.0,165.0,0.0,24.0,64.0,2.0,2.0,3.0,298.0
2011-10-01,Josh Neer,Keith Wisniewski,10.0,0.0,93.0,159.0,0.0,0.0,1.0,42.0,0.0,41.0,83.0,0.0,2.0,0.0,221.0
2011-10-01,Walel Watson,Joseph Sandoval,1.283,2.0,9.0,28.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2011-09-24,Jon Jones,Quinton Jackson,16.233,0.0,61.0,117.0,2.0,6.0,2.0,212.0,0.0,16.0,44.0,0.0,1.0,0.0,16.0
2011-09-24,Matt Hughes,Josh Koscheck,4.983,0.0,14.0,53.0,0.0,0.0,0.0,0.0,0.0,26.0,51.0,0.0,1.0,0.0,17.0
2011-09-24,Ben Rothwell,Mark Hunt,15.0,0.0,19.0,50.0,2.0,14.0,0.0,132.0,0.0,47.0,95.0,2.0,4.0,1.0,376.0
2011-09-24,Travis Browne,Rob Broughton,15.0,0.0,45.0,93.0,3.0,3.0,0.0,408.0,0.0,22.0,57.0,0.0,0.0,1.0,24.0
2011-09-24,Nate Diaz,Takanori Gomi,4.45,1.0,36.0,73.0,0.0,0.0,3.0,23.0,0.0,4.0,23.0,0.0,1.0,0.0,36.0
2011-09-24,Tony Ferguson,Aaron Riley,5.0,0.0,31.0,82.0,0.0,0.0,0.0,2.0,0.0,11.0,49.0,0.0,0.0,0.0,0.0
2011-09-24,Nick Ring,Tim Boetsch,15.0,0.0,29.0,82.0,0.0,2.0,0.0,188.0,0.0,46.0,84.0,4.0,6.0,2.0,184.0
2011-09-24,Junior Assuncao,Eddie Yagin,15.0,0.0,63.0,90.0,3.0,8.0,0.0,426.0,0.0,10.0,26.0,0.0,0.0,2.0,15.0
2011-09-24,Takeya Mizugaki,Cole Escovedo,9.5,2.0,70.0,129.0,1.0,1.0,0.0,154.0,0.0,29.0,51.0,0.0,0.0,0.0,40.0
2011-09-24,James Te Huna,Ricardo Romero,0.783,1.0,5.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2011-09-17,Jake Shields,Jake Ellenberger,0.883,0.0,1.0,13.0,0.0,1.0,0.0,7.0,1.0,9.0,16.0,0.0,0.0,0.0,4.0
2011-09-17,Court McGee,Dongi Yang,15.0,0.0,62.0,201.0,2.0,7.0,1.0,56.0,1.0,50.0,134.0,1.0,2.0,0.0,20.0
2011-09-17,Jonathan Brookins,Erik Koch,15.0,0.0,23.0,59.0,1.0,20.0,0.0,518.0,0.0,40.0,110.0,0.0,0.0,0.0,33.0
2011-09-17,Alan Belcher,Jason MacDonald,3.8,0.0,25.0,39.0,0.0,0.0,0.0,178.0,0.0,2.0,7.0,0.0,3.0,0.0,25.0
2011-09-17,Cody McKenzie,Vagner Rocha,8.817,0.0,15.0,43.0,0.0,0.0,1.0,32.0,0.0,18.0,48.0,2.0,2.0,4.0,338.0
2011-09-17,Evan Dunham,Shamar Bailey,15.0,0.0,92.0,351.0,0.0,0.0,1.0,13.0,0.0,35.0,206.0,0.0,5.0,0.0,12.0
