fight_id,date,event,fighter_a,fighter_b,winner,fighter_a_won,weight_class,method,round,fighter_a_pre_elo,fighter_b_pre_elo,elo_diff,fighter_a_expected_win_prob,fighter_b_expected_win_prob,fighter_a_age,fighter_b_age,age_diff,fighter_a_height,fighter_b_height,height_diff,fighter_a_reach,fighter_b_reach,reach_diff,fighter_a_prior_fights,fighter_b_prior_fights,prior_fights_diff,fighter_a_prior_wins,fighter_b_prior_wins,prior_wins_diff,fighter_a_prior_losses,fighter_b_prior_losses,prior_losses_diff,fighter_a_prior_win_pct,fighter_b_prior_win_pct,prior_win_pct_diff,fighter_a_wins_last_3,fighter_b_wins_last_3,wins_last_3_diff,fighter_a_win_pct_last_3,fighter_b_win_pct_last_3,win_pct_last_3_diff,fighter_a_wins_last_5,fighter_b_wins_last_5,wins_last_5_diff,fighter_a_win_pct_last_5,fighter_b_win_pct_last_5,win_pct_last_5_diff,fighter_a_days_since_last_fight,fighter_b_days_since_last_fight,days_since_last_fight_diff
5721,2014-08-30,UFC 177: Dillashaw vs Soto,Ruan Potts,Anthony Hamilton,Anthony Hamilton,0,Heavyweight,KO/TKO,2,1484.7726619624964,1484.0,0.772661962496386,0.5011119481148484,0.4988880518851516,36.51,34.38,2.1299999999999955,188.0,195.6,-7.599999999999994,190.5,193.0,-2.5,1,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,112.0,63.0,49.0
5722,2014-08-30,UFC 177: Dillashaw vs Soto,Chris Wade,Cain Carrizosa,Chris Wade,1,Lightweight,Submission,1,1500.0,1500.0,0.0,0.5,0.5,26.92,28.11,-1.1899999999999977,177.8,172.7,5.100000000000023,177.8,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,
5706,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Jacare Souza,Gegard Mousasi,Jacare Souza,1,Middleweight,Submission,3,1557.762529694024,1523.4298692132973,34.332660480726645,0.5492484728076705,0.45075152719232947,34.75,29.1,5.649999999999999,185.4,188.0,-2.5999999999999943,182.9,193.0,-10.099999999999994,3,3,0,3,2,1,0,1,-1,1.0,0.6666666666666666,0.33333333333333337,3,2,1,1.0,0.6666666666666666,0.33333333333333337,3,2,1,1.0,0.6666666666666666,0.33333333333333337,202.0,97.0,105.0
5707,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Alistair Overeem,Ben Rothwell,Ben Rothwell,0,Heavyweight,KO/TKO,1,1507.4801532578417,1507.780558624136,-0.30040536629417147,0.49956768203380525,0.5004323179661947,34.3,32.88,1.4199999999999946,193.0,193.0,0.0,203.2,198.1,5.099999999999994,4,6,-2,2,3,-1,2,3,-1,0.5,0.5,0.0,1,2,-1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,2,3,-1,0.5,0.6,-0.09999999999999998,216.0,370.0,-154.0
5708,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Matt Mitrione,Derrick Lewis,Matt Mitrione,1,Heavyweight,KO/TKO,1,1551.7866818486398,1531.263693206478,20.522988642161863,0.529500651041207,0.470499348958793,36.14,29.57,6.57,190.5,190.5,0.0,208.3,200.7,7.600000000000023,10,2,8,7,2,5,3,0,3,0.7,1.0,-0.30000000000000004,2,2,0,0.6666666666666666,1.0,-0.33333333333333337,2,2,0,0.4,1.0,-0.6,188.0,61.0,127.0
5709,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Joe Lauzon,Michael Chiesa,Joe Lauzon,1,Lightweight,TKO - Doctor's Stoppage,2,1548.9236926304272,1545.95675391448,2.966938715947208,0.5042696642509459,0.4957303357490541,30.29,26.75,3.539999999999999,177.8,185.4,-7.599999999999994,180.3,190.5,-10.199999999999989,16,5,11,10,4,6,6,1,5,0.625,0.8,-0.17500000000000004,1,2,-1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,2,4,-2,0.4,0.8,-0.4,265.0,104.0,161.0
5710,2014-09-05,UFC Fight Night: Jacare vs Mousasi,John Moraga,Justin Scoggins,John Moraga,1,Flyweight,Submission,2,1519.0141397815264,1512.5515917522207,6.462548029305708,0.5092992817717681,0.4907007182282319,30.46,22.34,8.120000000000001,167.6,170.2,-2.5999999999999943,167.6,167.6,0.0,5,3,2,3,2,1,2,1,1,0.6,0.6666666666666666,-0.06666666666666665,1,2,-1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3,2,1,0.6,0.6666666666666666,-0.06666666666666665,90.0,61.0,29.0
5711,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta,Rodrigo Damm,Al Iaquinta,1,Lightweight,KO/TKO,3,1513.9887893972284,1513.9109662914937,0.07782310573475115,0.5001119964500991,0.49988800354990093,27.35,34.59,-7.240000000000002,177.8,170.2,7.600000000000023,177.8,180.3,-2.5,5,5,0,3,3,0,2,2,0,0.6,0.6,0.0,2,2,0,0.6666666666666666,0.6666666666666666,0.0,3,3,0,0.6,0.6,0.0,104.0,97.0,7.0
5712,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Rafael Natal,Chris Camozzi,Rafael Natal,1,Middleweight,Decision - Split,3,1514.5633808691748,1505.0064860268014,9.556894842373367,0.5137500095229461,0.48624999047705386,31.7,27.79,3.91,182.9,188.0,-5.099999999999994,195.6,190.5,5.099999999999994,9,11,-2,5,6,-1,4,5,-1,0.5555555555555556,0.5454545454545454,0.010101010101010166,1,0,1,0.3333333333333333,0.0,0.3333333333333333,3,2,1,0.6,0.4,0.19999999999999996,118.0,62.0,56.0
5713,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Chris Beal,Tateki Matsuda,Chris Beal,1,Bantamweight,Decision - Unanimous,3,1516.0,1500.0,16.0,0.5230095872975623,0.4769904127024377,29.08,28.52,0.5599999999999987,170.2,170.2,0.0,175.3,,,1,0,1,1,0,1,0,0,0,1.0,,,1,0,1,1.0,,,1,0,1,1.0,,,132.0,,
5714,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Sean Soriano,Chas Skelly,Chas Skelly,0,Featherweight,Decision - Unanimous,3,1484.0,1500.7878272388155,-16.787827238815453,0.47585915922086897,0.524140840779131,24.91,29.32,-4.41,175.3,180.3,-5.0,177.8,182.9,-5.099999999999994,1,2,-1,0,1,-1,1,1,0,0.0,0.5,-0.5,0,1,-1,0.0,0.5,-0.5,0,1,-1,0.0,0.5,-0.5,244.0,13.0,231.0
